Facility Number,Facility Name,HMIS,Province,District,Division,LOCATION,Sub-Location,Facility Type,Agency,Latitude,Longitude
10,KATITO HEALTH CENTRE,1285,NYANZA,NYANDO,LOWER NYAKACH,N.E NYAKACH,AGORO WEST,3,MOH,-0.263883,34.9649
14,KORU MISSION HEALTH CENTRE,1292,NYANZA,NYANDO,MUHORONI,KORU,KORU,3,MISS,-0.18288,35.27376
15,KUSA HEALTH CENTRE,1293,NYANZA,NYANDO,UPPER NYAKACH,THURDIBUORO,WEST KOGUTA,3,MOH,-0.331291,34.854
17,MASOGO SUB-HEALTH CENTRE,1319,NYANZA,NYANDO,MIWANI,N.E KANO,KABAR EAST,3,MOH,-0.086547,35.0095
0,NYAKONGO HEALTH CENTRE,0,NYANZA,NYANDO,NYANDO,WAWIDHI,NYAKONGONYANDO,3,MOH,-0.161584,34.985492
25,NYANGOMA HEALTH CENTRE,1301,NYANZA,NYANDO,MIWANI,NYANGOMA,WANGAYA I,3,MOH,-0.1384,35.0531
34,SIGOTI HEALTH CENTRE,1325,NYANZA,NYANDO,UPPER NYAKACH,SIGOTI,RAMOGI,3,MOH,-0.345272,34.969642
35,SONDU HEALTH CENTRE,1313,NYANZA,NYANDO,UPPER NYAKACH,SOUTH NYAKACH,EAST KADIANG'A,3,MOH,-0.380033,35.0012
36,TAMU HEALTH CENTRE,1314,NYANZA,NYANDO,MUHORONI,TAMU,UPPER TAMU,3,MOH,-0.094844,35.2045
1,ADIEDO H C,1389,NYANZA,RACHUONYO,EAST KARACHUONYO,KANYALUO WEST,KOBILA,3,MOH,-0.420942,34.6015
3,ATEMO MISSION HEALTH CENTRE,1439,NYANZA,RACHUONYO,KASIPUL,KOJWACH,KOJWACH KAMUGA,3,MISS,-0.492322,34.8612
9,HOMA LIME H C,1441,NYANZA,RACHUONYO,WEST KARACHUONYO,KANAM A,KOWOUR,3,MOH,-0.414279,34.462036
10,KABONDO H C,1394,NYANZA,RACHUONYO,KABONDO,RAMULA,UPPER KODHOCH,3,MOH,-0.40823,34.8781
11,KANDIEGE H C,1396,NYANZA,RACHUONYO,WEST KARACHUONYO,KOYUGI,KAMUGA 2,3,MOH,-0.45638,34.5297
18,MAWEGO MISS. H C,1449,NYANZA,RACHUONYO,EAST KARACHUONYO,KOBUYA,KOBUYA WEST,3,MISS,-0.3896,34.77038
19,MIRIU H C,1452,NYANZA,RACHUONYO,EAST KARACHUONYO,WANG'CHIENG,KOBALA,3,MOH,-0.33976,34.7682
20,MISAMBI H C,3651,NYANZA,RACHUONYO,KABONDO,KASEWE,KASEWE 'B',3,MISS,-0.45487,34.9172
24,NYAGOWA H C,1413,NYANZA,RACHUONYO,KASIPUL,KODERA,KADEL-KAMIDIGO,3,MISS,-0.57393,34.6592
30,ORIANG CATHOLIC H C,3176,NYANZA,RACHUONYO,KABONDO,WANG'CHIENG,RONGO PALA,3,MISS,-0.44886,34.9398
32,OTHORO H C,1370,NYANZA,RACHUONYO,KABONDO,WANG'CHIENG,KAKANGUTU EAST,3,MOH,-0.429427,34.9579
34,RARUOWA MISS. H C,1461,NYANZA,RACHUONYO,WEST KARACHUONYO,KOYUGI,KOJWANG,3,MISS,-0.419631,34.5437
2,ALUOR HEALTH CENTRE,1342,NYANZA,SIAYA,WAGAI,SOUTH GEM,ONYINYORE,3,MISS,0.01047,34.465
6,GOGO HEALTH CENTRE,0,NYANZA,SIAYA,YALA,NORTH GEM,LUNDHA,3,MOH,0.093434,34.4248
10,KODIAGA HEALTH CENTRE,1291,NYANZA,SIAYA,YALA,NORTH GEM,MALIERA,3,MOH,0.106619,34.4566
13,MALANGA HEALTH CENTRE,1349,NYANZA,SIAYA,YALA,NORTH GEM,MALANGASIAYA,3,MOH,0.1334,34.4295
15,MBAGA MISSION HEALTH CENTRE,1352,NYANZA,SIAYA,BORO,NORTH ALEGO,KOMOLOSIAYA,3,MISS,0.08298,34.27626
17,NDERE HEALTH CENTRE,1369,NYANZA,SIAYA,YALA,NORTH GEM,NDERE,3,MOH,0.1385,34.3857
18,NG'IYA HEALTH CENTRE,1354,NYANZA,SIAYA,WAGAI,S.WEST GEM,KAUDHA WEST,3,MISS,-0.044965,34.372725
19,NJEJRA HEALTH CENTRE,0,NYANZA,SIAYA,WAGAI,WEST GEM,DIENYA W,3,MOH,-0.001698,34.4071
20,NYAGOND HEALTH CENTRE,0,NYANZA,SIAYA,WAGAI,N.EAST GEM,WAGAI,3,MOH,0.050708,34.4149
23,NYANGWE HEALTH CENTRE,0,NYANZA,SIAYA,YALA,CENTRAL GEM,KAGILO,3,MOH,0.073523,34.454
24,NYAWARA HEALTH CENTRE,1386,NYANZA,SIAYA,YALA,CENTRAL GEM,NYAWARA,3,MOH,0.09451,34.4888
25,OGERO HEALTH CENTRE,0,NYANZA,SIAYA,WAGAI,SOUTH GEM,GOMBE,3,MOH,0.005518,34.4828
26,OPICHE HEALTH CENTRE,0,NYANZA,SIAYA,YALA,NORTH GEM,MALANGASIAYA,3,MOH,0.120028,34.4372
28,RAMULA HEALTH CENTRE,1387,NYANZA,SIAYA,WAGAI,SOUTH GEM,GOMBE,3,MOH,-0.0175,34.4988
31,RERA HEALTH CENTRE,1359,NYANZA,SIAYA,WAGAI,SOUTH GEM,RERA,3,MOH,-0.005207,34.448
32,RWAMBWA H C,1360,NYANZA,SIAYA,UKWALA,UKWALA,DOHO-EAST,3,MOH,0.196039,34.188548
36,SIGOMER HEALTH CENTRE,1372,NYANZA,SIAYA,UGUNJA,EAST UHOLO,SIGOMRE,3,MOH,0.1963,34.3645
38,SIREMBE HEALTH CENTRE,0,NYANZA,SIAYA,WAGAI,N.WEST GEM,SIREMBE,3,MOH,0.095027,34.4
42,UKWALA HEALTH CENTRE,1373,NYANZA,SIAYA,UKWALA,UKWALA,DOHO-EAST,3,MOH,0.2078,34.1808
4,KITARE HEALTH CENTRE,1397,NYANZA,SUBA,MBITA,GEMBE EAST,KAYANJA,3,MOH,-0.48212,34.32213
6,MAGUNGA HEALTH CENTRE,1402,NYANZA,SUBA,GWASSI,GWASSI CENTRAL,MAGUNGA,3,MOH,-0.69086,34.1474
7,MBITA HEALTH CENTRE,1450,NYANZA,SUBA,MBITA,GEMBE WEST,MBITA TOWNSHIP,3,MOH,-0.467294,34.2043
11,OGONGO HEALTH CENTRE,1420,NYANZA,SUBA,LAMBWE,LAMBWE WEST,OGONGO,3,MOH,-0.58123,34.35123
13,SENA HEALTH CENTRE,1429,NYANZA,SUBA,MFANGANO,MFANGANO EAST,WAKINGA,3,MOH,-0.4679,34.0621
17,ST.  LUKE'S HEALTH CENTRE,1466,NYANZA,SUBA,MFANGANO,MFANGANO EAST,WAKINGA,3,MISS,-0.479827,34.061272
21,TONGA HEALTH CENTRE,1468,NYANZA,SUBA,GWASSI,GWASSI WEST,TONGA,3,MISS,-0.6931,34.1178
6,BARWESA H C,1933,RIFT VALLEY,BARINGO,BARWESA,LAWAN,BARWESSA,3,MOH,0.713168,35.7013
11,CHEMALENGOT H C,3854,RIFT VALLEY,BARINGO,NGINYANG,RIBKWO,CHESAKAM,3,MOH,0.987236,35.9877
14,CHURO SUB-HEALTH CENTRE,1936,RIFT VALLEY,BARINGO,TANGULBEI,CHURO,CHURO,3,MISS,0.781098,36.4168
16,KABARTONJO H C,1983,RIFT VALLEY,BARINGO,KABARTONJO,OSSEN,TIRIONDONIN,3,MOH,0.626092,35.7877
17,KAMPI YA SAMAKI SUB-H C,1993,RIFT VALLEY,BARINGO,KABARTONJO,BARTUM,AKORIAN,3,MOH,0.641564,36.0224
38,KIMALEL H C,3753,RIFT VALLEY,BARINGO,MARIGAT,KIMALEL,KORIEMA,3,MOH,0.477825,35.8828
45,KIPTAGICH H C,1984,RIFT VALLEY,BARINGO,SACHO,SACHO MOSOP,KESETAN,3,MOH,0.358997,35.7909
47,KITURO H C,1954,RIFT VALLEY,BARINGO,KABARNET,KITURO,KITURO,3,MOH,0.484228,35.7846
50,KOLOA H C,3436,RIFT VALLEY,BARINGO,KOLLOWA,KOLLOWA,KOLLOWA,3,MOH,1.2162,35.7587
56,KUIKUI HC,2416,RIFT VALLEY,BARINGO,BARWESA,KABOSKEI KERIO,KUIKUI,3,MISS,0.821236,35.6919
62,MARIGAT H C,1985,RIFT VALLEY,BARINGO,MARIGAT,MARIGAT,YATOI,3,MOH,0.487792,35.9782
65,MOCHONGOI H C,3427,RIFT VALLEY,BARINGO,MOCHONGOI,MOCHONGOI,MOCHONGOI,3,MOH,0.316934,36.1847
66,MOGORWA H C,1962,RIFT VALLEY,BARINGO,TENGES,EMOM,CHEPLAMBUS,3,MOH,0.304039,35.7189
71,NGINYANG HC,1986,RIFT VALLEY,BARINGO,NGINYANG,LOYAMOROK,NGINYANG EAST,3,MOH,0.968155,36.0202
77,SALAWA H C,1973,RIFT VALLEY,BARINGO,SALAWA,KABARNET SOI,SALAWABARINGO,3,MOH,0.499544,35.6603
78,SERETUNIN SUB-H C,1994,RIFT VALLEY,BARINGO,KABARNET,EWALEL,SERETUNIN,3,MOH,0.556304,35.7864
84,TENGES H C,1987,RIFT VALLEY,BARINGO,TENGES,TENGES,TENGES,3,MOH,0.327464,35.8045
1,BOMET SUB-HEALTH CENTRE,1662,RIFT VALLEY,BOMET,BOMET CENTRAL,TOWNSHIP,CHEPNGAINA,3,MOH,-0.78031,35.33807
11,KABOSON AGC HEALTH CENTRE,1664,RIFT VALLEY,BOMET,SIGOR,KABOSON,KABOSON,3,MISS,-0.988218,35.2314
14,KAPKOROS HEALTH CENTRE,1665,RIFT VALLEY,BOMET,BOMET CENTRAL,SIBAIYAN,KAPKOROSBOMET,3,MOH,-0.665095,35.275022
27,NDANAI HEALTH CENTRE,1668,RIFT VALLEY,BOMET,NDANAI,NDANAI,CHEPKEIGEI,3,MOH,-0.829001,35.1067
30,OLBUTYO H C,1639,RIFT VALLEY,BOMET,SIONGIROI,SIONGIROI,SIONGIROI,3,MOH,-0.873524,35.24234
37,SIOGIROI HEALTH CENTRE,1672,RIFT VALLEY,BOMET,SIONGIROI,SIONGIROI,SIONGIROI,3,MOH,-0.873065,35.2131
2,CHEBANGANG HEALTH CENTRE,1663,RIFT VALLEY,BURET,KIMULOT,CHEBANGANG,CHEBANGANGBURET,3,MOH,-0.544006,35.296326
14,KIPSONOI HEALTH CENTRE,1616,RIFT VALLEY,BURET,SOTIK,KAMUNGEI,KENENE,3,MOH,-0.68335,35.220952
18,KOIWA H C,1896,RIFT VALLEY,BURET,KONOIN,KOIWA,CHEPTINGTING,3,MOH,-0.60231,35.3321
22,RORET HEALTH CENTRE,1669,RIFT VALLEY,BURET,RORET,KISIARA,MABASI,3,MOH,-0.499516,35.1019
25,SIROIN SDA HEALTH CENTRE,0,RIFT VALLEY,BURET,SOTIK,KAMUNGEI,SIROIN,3,MISS,-0.662707,35.258317
5,BISSEL HEALTH CENTRE,1540,RIFT VALLEY,KAJIADO,NAMANGA,BISSIL,BISSIL,3,MOH,-2.201375,36.842032
11,ENKORIKA HEALTH CENTRE,1541,RIFT VALLEY,KAJIADO,CENTRAL,OLOBELIBEL,PELEWA,3,MOH,-1.9961,36.9407
12,ENTARARA H C,4549,RIFT VALLEY,KAJIADO,LOITOKITOK,ROMBO,ENTARARA,3,MOH,-2.978681,37.616278
13,ENTASOPIA HEALTH CENTRE,1515,RIFT VALLEY,KAJIADO,MAGADI,OLKIRAMATIAN,ENTASOPIA,3,MOH,-1.700811,36.063152
16,FATIMA LENGESIM H C,1523,RIFT VALLEY,KAJIADO,LOITOKITOK,LENKISM,LENKISM,3,MISS,-2.394393,37.212735
18,FATIMA HEALTH CENTRE,1542,RIFT VALLEY,KAJIADO,NGONG,NGONG,NGONG TOWNSHIP,3,MISS,-1.359548,36.65548
20,ILBISSIL HEALTH CENTRE,0,RIFT VALLEY,KAJIADO,NAMANGA,BISSIL,BISSIL,3,MOH,-2.11477,36.822
28,ISINYA HEALTH CENTRE,1543,RIFT VALLEY,KAJIADO,CENTRAL,OLTUROTO,KISAJUCENTRAL,3,MOH,-1.61715,36.8407
32,KIMANA HEALTH CENTRE,1522,RIFT VALLEY,KAJIADO,LOITOKITOK,KIMANA,KIMANA,3,MOH,-2.86722,37.54
34,KISERIAN HEALTH CENTRE,1544,RIFT VALLEY,KAJIADO,NGONG,KISERIAN,UPPER MATASIA,3,MISS,-1.42793,36.6856
35,KITENGELA HEALTH CENTRE,4206,RIFT VALLEY,KAJIADO,CENTRAL,KITENKELA,OLOOSIRIKON,3,MOH,-1.45532,36.7479
39,MASHURU HEALTH CENTRE,1545,RIFT VALLEY,KAJIADO,MASHURU,IMARORO,MASHURU,3,MOH,-2.10225,37.1275
40,MASIMBA HEALTH CENTRE,1546,RIFT VALLEY,KAJIADO,MASHURU,KENYEWA,KIBOKOKAJIADO,3,MOH,-2.19128,37.6717
43,MILE 46 HEALTH CENTRE,1547,RIFT VALLEY,KAJIADO,CENTRAL,LOODOKILANI,ELANGATA WUAS,3,MOH,-1.962666,36.562804
47,NAMANGA HEALTH CENTRE,1548,RIFT VALLEY,KAJIADO,NAMANGA,NAMANGA,NAMANGA,3,MOH,-2.50889,36.8258
50,NGONG HEALTH CENTRE,1549,RIFT VALLEY,KAJIADO,NGONG,NGONG,KIBIKO,3,MOH,-1.34101,36.6255
69,ONGATA RONGAI HEALTH CENTRE,1551,RIFT VALLEY,KAJIADO,NGONG,ONGATA RONGAI,LEMELEPO,3,MOH,-1.40735,36.7514
71,ROMBO MISSION HEALTH CENTRE,1552,RIFT VALLEY,KAJIADO,LOITOKITOK,ROMBO,ROMBO,3,MISS,-3.04881,37.70337
75,SIMBA HEALTH CENTRE,1374,RIFT VALLEY,KAJIADO,MASHURU,IMARORO,MASHURU,3,MOH,-2.095045,37.132883
4,CHEPKORIO HEALTH CENTRE,2033,RIFT VALLEY,KEIYO,CHEPKORIO,MARICHOR,FLAX,3,MOH,0.386649,35.5278
8,KAMWOSOR HEALTH CENTRE,2045,RIFT VALLEY,KEIYO,CHEPKORIO,KAMWOSOR,KAMWOSOR,3,MOH,0.200269,35.5668
11,KAPKOI HEALTH CENTRE,2039,RIFT VALLEY,KEIYO,KAMARINY,MUTEI,KAPKOIKEIYO,3,MISS,0.53992,35.492234
17,KAPTEREN HEALTH CENTRE,2959,RIFT VALLEY,KEIYO,KAMARINY,MUTEI,KAPTEREN,3,MOH,0.566355,35.487
0,KANG??NDE DISP,0,EASTERN,MACHAKOS,MASINGA,,,4,MOH,0.00E+00,0.00E+00
29,LELBOINET HEALTH CENTRE,2016,RIFT VALLEY,KEIYO,CHEPKORIO,MARICHOR,LELBOINETKEIYO,3,MOH,0.358423,35.5659
33,MSEKEKWA HEALTH CENTRE,2022,RIFT VALLEY,KEIYO,KAMARINY,KAMOI,SINGORE,3,MOH,0.707923,35.519061
34,MUSKUT HEALTH CENTRE,2023,RIFT VALLEY,KEIYO,SOY,SOY,MUSKUT,3,MOH,0.381272,35.6268
45,TOT HEALTH CENTRE,2041,RIFT VALLEY,KEIYO,CHEPKORIO,MAOI,KETIGOI,3,MOH,0.26886,35.6354
1,AINAMOI H C,1556,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,AINAMOIKERICHO,3,MOH,-0.29374,35.272
3,CHEPKEMEL HEALTH CENTRE,1685,RIFT VALLEY,KERICHO,SIGOWET,KAPLELARTET,KAPLELARTET,3,MOH,-0.364316,35.0518
8,FORT TERNAN SUB-HEALTH CENTRE,1581,RIFT VALLEY,KERICHO,CHILCHILA,CHILCHILA,KOISAGAT,3,MOH,-0.195954,35.3392
9,KABIANGA SUB-HEALTH CENTRE,1686,RIFT VALLEY,KERICHO,BELGUT,KABIANGA,KABIANGAKERICHO,3,MOH,-0.441695,35.1342
20,KENEGUT SUB HEALTH CENTRE,1602,RIFT VALLEY,KERICHO,AINAMOI,KENEGUT,KENEGUT,3,MOH,-0.26568,35.2261
23,KERICHO MUNICIPAL H C,0,RIFT VALLEY,KERICHO,AINAMOI,TOWNSHIP,TOWNSHIPKERICHO,3,LA,-0.36747,35.28391
29,KIPKELION SUB HEALTH CENTRE,1687,RIFT VALLEY,KERICHO,KIPKELION,KIPCHORAN,KIPKELION TOWN,3,MOH,-0.194253,35.4642
50,SOSIOT HEALTH CENTRE,1673,RIFT VALLEY,KERICHO,BELGUT,WALDAI,SOSIOT,3,MOH,-0.359214,35.1708
53,THESSALIA HEALTH CENTRE,1675,RIFT VALLEY,KERICHO,SOIN,KOITABUROT,KAPKECHEBWAI,3,MISS,-0.178948,35.1666
7,EMINING HEALTH CENTRE,1992,RIFT VALLEY,KOIBATEK,EMINING,KIMOSE,KIMOSE,3,MOH,0.214364,35.8711
12,KISANANA HEALTH CENTRE,1952,RIFT VALLEY,KOIBATEK,MOGOTIO,SIMOTWE,MUGURIN,3,MOH,0.11419,36.0723
25,TIMBOROA HEALTH CENTRE,1980,RIFT VALLEY,KOIBATEK,MUMBERES,LEMBUS-MOSOP,SEGUTON/TIMBOROA,3,MOH,0.066667,35.54226
26,TORONGO HEALTH CENTRE,1981,RIFT VALLEY,KOIBATEK,MUMBERES,LEMBUS-MOSOP,TINETKOIBA,3,MOH,0.051004,35.5914
3,DOLDOL HEALTH CENTRE,1703,RIFT VALLEY,LAIKIPIA,MUKOGONDO,MUKOGONDO,KURIKURI,3,MOH,0.397141,37.1829
8,KARANDI HEALTH CENTRE,0,RIFT VALLEY,LAIKIPIA,NGARUA,GITUAMBA,KIAMBOGOLAIKIPIA,3,MOH,0.288593,36.3102
13,KINAMBA HEALTH CENTRE,3633,RIFT VALLEY,LAIKIPIA,NGARUA,KINAMBA,MWENJE,3,MISS,0.425364,36.3145
28,NDINDIKA HEALTH CENTRE,2374,RIFT VALLEY,LAIKIPIA,NGARUA,KINAMBA,MWENJE,3,MOH,0.446367,36.295492
32,NGARUA HEALTH CENTRE,1707,RIFT VALLEY,LAIKIPIA,NGARUA,GITUAMBA,KIAMBOGOLAIKIPIA,3,MOH,0.291558,36.303527
38,OLJABET SUB HEALTH CENTRE,2376,RIFT VALLEY,LAIKIPIA,RUMURUTI,MUTHENGERA,GAITI,3,MOH,0.182776,36.3767
41,RUMURUTI HEALTH CENTRE,1710,RIFT VALLEY,LAIKIPIA,RUMURUTI,RUMURUTI,RUMURUTI,3,MOH,0.277738,36.5338
1,ARROR HEALTH CENTRE,2029,RIFT VALLEY,MARAKWET,TUNYO,ARROR,ARROR,3,MISS,0.955932,35.6098
2,CHEBIEMIT HEALTH CENTRE,2031,RIFT VALLEY,MARAKWET,CHEBIEMIT,MOIBEN,CHEBIEMIT,3,MOH,0.867231,35.495
3,CHEBORORWA HEALTH CENTRE,2032,RIFT VALLEY,MARAKWET,KAPCHEROP,CHERANGANY,KOITUGUM,3,MOH,0.966372,35.3828
8,CHESOI CATHOLIC HEALTH CENTRE,2034,RIFT VALLEY,MARAKWET,TUNYO,MON,MOGIL,3,MISS,1.07,35.62
9,CHESONGOCH HEALTH CENTRE,2035,RIFT VALLEY,MARAKWET,TOT,MURKUTWA,ROCHO,3,MISS,1.13036,35.642
11,ENDUL HEALTH CENTRE,2036,RIFT VALLEY,MARAKWET,TIRAP,EMBOBUT,ENDUL,3,MISS,1.22673,35.5996
23,KAPCHEROP HEALTH CENTRE,2038,RIFT VALLEY,MARAKWET,KAPCHEROP,SENGWER,KAPCHEROP,3,MOH,1.04598,35.3104
7,BAHATI RHDC NAKURU,1789,RIFT VALLEY,NAKURU,BAHATI,BAHATI,BAHATI,3,MOH,-0.16743,36.12324
10,CHEBARA HEALTH CENTRE,3984,RIFT VALLEY,NAKURU,KERINGET,CHEBARA,CHEBARANAKURU,3,MOH,-0.47481,35.6792
20,GILIGIL SISTERS HEALTH CENTRE,0,RIFT VALLEY,NAKURU,GILGIL,GILGIL,GILGIL,3,MISS,-0.47015,36.33
23,HEKIMA HEALTH CENTRE,1725,RIFT VALLEY,NAKURU,NAKURU MUNI.,CENTRAL,BAHARINI,3,MISS,-0.3012,36.08373
24,HURUMA HEALTH CENTRE,1726,RIFT VALLEY,NAKURU,NJORO,NJORO,NJORONAKURU,3,MISS,-0.33391,35.93955
37,KERINGETI HEALTH CENTRE,2809,RIFT VALLEY,NAKURU,KERINGET,KERINGET,KERINGETNAKURU,3,MOH,-0.42267,35.6881
41,KIPSYENAN HEALTH CENTRE,4629,RIFT VALLEY,NAKURU,RONGAI,KAMPI YA MOTO,MAKUTANONAKURU,3,MOH,-0.08323,35.9429
42,KURESOI H C,4626,RIFT VALLEY,NAKURU,KURESOI,KIPTORORO,CHEMATICHNAKURU,3,MOH,-0.42423,35.53203
49,LOWER SOLAI H C,1739,RIFT VALLEY,NAKURU,MBOGOINI,MAJI TAMU,LOWER SOLAI,3,MOH,0.03186,36.16924
51,MAIELLA HEALTH CENTRE,2774,RIFT VALLEY,NAKURU,NAIVASHA,MAIELLA,MAIELLA,3,MOH,-0.916299,36.2144
52,MAI-MAHIU HEALTH CENTRE,3844,RIFT VALLEY,NAKURU,NAIVASHA,LONGONOT,MAI MAHIU,3,MOH,-0.97517,36.58334
56,MAU NAROK HEALTH CENTRE,1769,RIFT VALLEY,NAKURU,MAU NAROK,MAU NAROK,SIAPEI,3,MOH,-0.59855,35.98812
57,MBOGONI HEALTH CENTRE,2777,RIFT VALLEY,NAKURU,MBOGOINI,MAJI TAMU,CHEMASIS,3,MOH,0.020773,36.1484
58,MITI MINGI H C,2380,RIFT VALLEY,NAKURU,GILGIL,MITI MINGI,ELEMENTAITA,3,MOH,-0.554322,36.1199
59,MOGOTIO CATHOLIC HEALTH CENTRE,0,RIFT VALLEY,NAKURU,RONGAI,MAKONGENI,LOMOLO,3,MISS,-0.020078,35.992218
60,MOGOTIO RHDC,1791,RIFT VALLEY,NAKURU,RONGAI,MAKONGENI,LOMOLO,3,MOH,-0.02213,35.995321
65,MUNICIPAL COUNCIL OF NAKURU HC,3513,RIFT VALLEY,NAKURU,NAKURU MUNI.,CENTRAL,AFRAHA,3,LA,-0.28361,36.06971
74,NDUNDORI HEALTH CENTRE,2827,RIFT VALLEY,NAKURU,BAHATI,DUNDORI,DUNDORI,3,MOH,-0.235677,36.2339
76,NJORO HEALTH CENTRE,1770,RIFT VALLEY,NAKURU,NJORO,NJORO,NJORONAKURU,3,MOH,-0.33138,35.93812
83,OLENGURUENE HEALTH CENTRE,1771,RIFT VALLEY,NAKURU,OLENGURUONE,AMALO,AMALO,3,MOH,-0.58851,35.68496
92,RONGAI HEALTH CENTRE,1772,RIFT VALLEY,NAKURU,RONGAI,RONGAI,RONGAINAKURU,3,MOH,-0.17066,35.85911
94,SIAPEI HEALTH CENTRE,0,RIFT VALLEY,NAKURU,MAU NAROK,MAU NAROK,SIAPEI,3,MOH,-0.597156,35.9929
95,ST FRANCIS HEALTH CENTRE,1740,RIFT VALLEY,NAKURU,MBOGOINI,WASEGES,SUBUKIA WEST,3,MISS,0.156732,36.2486
97,ST. FRANCIS CATHOLIC HEALTH CENTRE,3503,RIFT VALLEY,NAKURU,NAKURU MUNI.,LAKE NAKURU,LAKE NAKURUNAT.PARK,3,MISS,-0.47,36.08
101,SUBUKIA HEALTH CENTRE,1773,RIFT VALLEY,NAKURU,MBOGOINI,SUBUKIA,SUBUKIA EAST,3,MOH,0.00554,36.22949
105,UPPER SOLAI HEALTH CENTRE,1775,RIFT VALLEY,NAKURU,BAHATI,SOLAI,NYADUNDO,3,MOH,-0.09957,36.12654
1,CHEMASE H C,2086,RIFT VALLEY,NANDI,ALDAI,CHEMASE,KIBISIEM,3,MOH,-0.02479,35.0105
9,KABIYET H C,2087,RIFT VALLEY,NANDI,KAPSABET,KAMOIYWO,KAMOIYWO,3,MOH,0.38533,35.098
14,KAIGAT MISSION H C,2089,RIFT VALLEY,NANDI,KIPKAREN,KABIEMIT,KABIEMITNANDI,3,MISS,0.51519,35.0814
16,KAPKANGANI H C,2057,RIFT VALLEY,NANDI,KAPSABET,KIPTUIYA,KIPTUIYA,3,MOH,0.20665,35.0062
17,KAPKERER HEALTH CENTRE,0,RIFT VALLEY,NANDI,ALDAI,KAPKERER,KAPKERER,3,MISS,0.006594,34.7964
22,KAPSABET SUB HEALTH CENTRE,2046,RIFT VALLEY,NANDI,KAPSABET,KIPTUIYA,KIPTUIYA,3,MISS,0.20045,35.01892
26,KAPTUMO H C,2090,RIFT VALLEY,NANDI,KAPTUMO,KAPTUMO,IBANJA,3,MOH,0.09013,35.0708
29,KEMELOI H C,2091,RIFT VALLEY,NANDI,ALDAI,MUGEN,KAPKEMICH,3,MOH,0.06013,34.8735
31,KILIBWONY H C,2092,RIFT VALLEY,NANDI,KILIBWONI,KILIBWON,KILIBWON,3,MOH,0.21544,35.2239
33,KIMNG'OROR HEALTH CENTRE,2433,RIFT VALLEY,NANDI,KIPKAREN,KIMNG'OROR,KIMNG'OROR,3,MISS,0.49905,34.954231
48,METETEI H C,2095,RIFT VALLEY,NANDI,TINDERET,KAMELIL,NGATIPKONG,3,MOH,0.02113,35.3743
9,ENABELBEL HEALTH CENTRE,1826,RIFT VALLEY,NAROK,OLOKURTO,ENABELIBEL,ENENGETIA,3,MOH,-0.834185,35.8925
14,ENTASEKERA HEALTH CENTRE,3452,RIFT VALLEY,NAROK,LOITA,LOITA,NKOPON,3,MISS,-1.8322,35.8071
32,NAIREGI ENKARE HEALTH CENTRE,1830,RIFT VALLEY,NAROK,MAU,KEEKONYOKIE,KEEKONYOKIE,3,MOH,-1.03713,36.1483
35,NAROSURA HEALTH CENTRE,2383,RIFT VALLEY,NAROK,OSUPUKO,NAROOSURA,NAROOSURA,3,MOH,-1.53825,35.8675
48,OLOKIRIKIRAI HEALTH CENTRE,3139,RIFT VALLEY,NAROK,MAU,OLCHORRO,SIYAPEI,3,MISS,-1.083419,35.955371
51,OLOLUNGA HEALTH CENTRE,1834,RIFT VALLEY,NAROK,OLOLULUNGA,OLOLULUNGA,OLOLULUNGA,3,MOH,-1.00872,35.6611
56,OLUKURTO HEALTH CENTRE,1832,RIFT VALLEY,NAROK,OLOKURTO,OLOKURTO,OLOKURTO,3,MOH,-0.683834,35.7863
61,SOGOO HEALTH CENTRE,1836,RIFT VALLEY,NAROK,MULOT,SOGOO,SOGOO,3,MOH,-0.819313,35.5643
1,ARCHER'S POST MISSION HEALTH CENTRE,2122,RIFT VALLEY,SAMBURU,WASO,WASO EAST,ARCHERS POST,3,MISS,0.651406,37.5921
12,LESIRIKAN HEALTH CENTRE,2105,RIFT VALLEY,SAMBURU,NYIRO,UASO RONGAI,SEREN,3,NGO,1.76869,37.0774
34,SOUTH HORR HEALTH CENTRE,2118,RIFT VALLEY,SAMBURU,NYIRO,SOUTH HORR,SOUTH HORRSAMBU,3,MISS,2.04556,36.8998
36,SUGUTA MARMAR HEALTH CENTRE,2124,RIFT VALLEY,SAMBURU,LORROKI,SUGUTA MARMAR,SUGUTA MARMAR,3,MOH,0.8315,36.69225
40,WAMBA HEALTH CENTRE,2125,RIFT VALLEY,SAMBURU,WAMBA,WAMBA,WAMBA TOWN,3,MOH,0.988407,37.3348
1,ANGATA BARRIKOI  HC,1794,RIFT VALLEY,TRANS MARA,LOLGORIAN,ANGATA,ANGATA,3,MOH,-1.3724,34.7608
4,EMARTI HEALTH CENTRE,1797,RIFT VALLEY,TRANS MARA,KIRINDONI,EMARTI,KIRIBWET,3,MOH,-0.997695,35.1801
7,ENOOSAEN HEALTH CENTRE,3226,RIFT VALLEY,TRANS MARA,KEIYAN,ENOSAEN,MAPASHI,3,MOH,-0.997755,34.7358
9,FSC SIKAWA H C,0,RIFT VALLEY,TRANS MARA,KEIYAN,SIKAWA,OLDANYATI,3,MISS,-1.05692,34.6896
